boss_order_id,order_date,shop,Brands,shipping_country,Order Total (GBP),Refund (GBP),net_revenue_gbp,has_coupon,coupon_code,campaign_type_clean
2391942,2023-01-20,CrazyBulk USA,CrazyBulk,US,6390.47,0.0,5733.934499775684,True,"FREE PRODUCT,SALE20",No coupon
2395652,2023-01-22,CrazyBulk USA,CrazyBulk,US,5593.39,0.0,5179.064814814815,True,"FREE PRODUCT,LCB1UWMTLLAYO",No coupon
2393152,2023-01-21,CrazyBulk USA,CrazyBulk,US,5569.22,0.0,5253.981132075472,True,FREE PRODUCT,No coupon
2402692,2023-01-26,CrazyBulk USA,CrazyBulk,US,3249.29,0.0,2984.4225028702635,True,"FREE PRODUCT,SALE20",No coupon
2385272,2023-01-17,CrazyBulk USA,CrazyBulk,US,2063.98,0.0,1856.097122302158,True,"FREE PRODUCT,CBS-8Z9D62",No coupon
2173066,2022-09-06,SupplementShippers,SupplementShippers,US,1918.238727688013,0.0,1809.6591770641635,True,"CC25,CC10",No coupon
3108215,2024-03-05,CrazyBulk USA,CrazyBulk,US,1494.41,0.0,1380.5173210161663,True,",FREE PRODUCT,SALE20",No coupon
3240020,2024-07-14,CrazyBulk UK,CrazyBulk,GB,1469.9,0.0,1224.9166666666667,True,LCBUK48Z8OWAN3T,No coupon
2992891,2023-11-25,CrazyBulk USA,CrazyBulk,US,1458.17,291.63,1166.54,True,"FREE PRODUCT,FRIDAY50",No coupon
1965263,2022-04-13,PhenQ USA,Phen Q,US,1143.5967302452318,571.7983651226159,529.4429306690888,True,EASTER,EASTER
2699413,2023-06-15,PhenQ USA,Phen Q,AE,1104.88,0.0,1104.88,False,,No coupon
2398171,2023-01-24,CrazyBulk USA,CrazyBulk,US,1066.37,0.0,965.0407239819004,True,"FREE PRODUCT,SALE20",No coupon
2395568,2023-01-22,CrazyBulk USA,CrazyBulk,US,1065.36,0.0,964.1266968325792,True,"FREE PRODUCT,SALE20",No coupon
2037391,2022-05-29,PhenQ USA,Phen Q,US,1013.9025137952176,144.8421213979154,802.8271523300714,True,FIRST10,No coupon
2939456,2023-10-16,CrazyBulk USA,CrazyBulk,US,990.65,0.0,913.041474654378,True,"FREE PRODUCT,LCBVRM4Z4FMFK",No coupon
3308481,2024-10-17,CrazyBulk USA,CrazyBulk,US,988.82,0.0,913.459584295612,True,"FREE PRODUCT,MISSYOU40",No coupon
2110260,2022-07-21,CrazyBulk USA,CrazyBulk,US,985.254691689008,0.0,897.7263705594606,True,"FREE PRODUCT,CALL25",No coupon
2281974,2022-11-22,CrazyBulk USA,CrazyBulk,US,976.9872990496492,488.49809041655567,488.4892086330936,True,"FREE PRODUCT,FRIDAY50",No coupon
2400041,2023-01-25,CrazyBulk CA,CrazyBulk,CA,975.49,38.82,936.67,True,"FREE PRODUCT,SALE20",No coupon
2400040,2023-01-25,CrazyBulk CA,CrazyBulk,CA,975.49,0.0,975.49,True,"FREE PRODUCT,SALE20",No coupon
2966067,2023-11-06,CrazyBulk USA,CrazyBulk,US,921.4,0.0,828.5971223021581,True,",FREE PRODUCT",No coupon
2954192,2023-10-28,CrazyBulk USA,CrazyBulk,US,915.57,0.0,915.57,True,FREE PRODUCT,No coupon
2257935,2022-11-08,CrazyBulk USA,CrazyBulk,US,913.78367177787,304.5917944467468,609.1918773311231,True,"FREE PRODUCT,FRIDAY50",No coupon
3209761,2024-06-13,CrazyBulk USA,CrazyBulk,US,894.62,0.0,824.5345622119816,True,"FREE PRODUCT,SALE20",No coupon
3248451,2024-07-24,CrazyBulk CA,CrazyBulk,CA,891.01,0.0,891.01,True,"FREE PRODUCT,SALE20",No coupon
3348752,2024-12-12,CrazyBulk UK,CrazyBulk,GB,864.67,0.0,720.5583333333333,True,SALE20,No coupon
3193113,2024-05-25,CrazyBulk USA,CrazyBulk,US,864.1,230.74,570.6562871661802,True,"FREE PRODUCT,FLASH40",No coupon
2273154,2022-11-16,CrazyBulk USA,CrazyBulk,US,863.6912692068568,0.0,751.035886266832,True,",FREE PRODUCT",No coupon
2837100,2023-08-21,CrazyBulk USA,CrazyBulk,US,863.28,0.0,797.487297921478,True,FREE PRODUCT,No coupon
2395959,2023-01-22,CrazyBulk USA,CrazyBulk,US,857.46,0.0,808.9245283018868,True,",,FREE PRODUCT",No coupon
3355150,2024-12-26,CrazyBulk USA,CrazyBulk,US,853.74,0.0,787.7283631666359,True,"FREE PRODUCT,FREESTACK",No coupon
3191914,2024-05-24,CrazyBulk USA,CrazyBulk,AE,841.31,0.0,841.31,True,"FREE PRODUCT,SALE20",No coupon
2915984,2023-10-01,CrazyBulk AUS,CrazyBulk,AU,834.8,0.0,758.9090909090908,True,"FREE PRODUCT,RETURN20",No coupon
2991425,2023-11-24,CrazyBulk USA,CrazyBulk,US,822.62,0.0,715.3217391304348,True,",FREE PRODUCT,FRIDAY30",No coupon
2821267,2023-08-14,CrazyBulk USA,CrazyBulk,AE,819.19,0.0,819.19,True,FREE PRODUCT,No coupon
3216381,2024-06-20,CrazyBulk USA,CrazyBulk,US,817.84,0.0,757.2592592592592,True,"FREE PRODUCT,SALE20",No coupon
3334416,2024-11-24,CrazyBulk CA,CrazyBulk,CA,817.79,0.0,817.79,True,",FREE PRODUCT,STAY20",No coupon
3212161,2024-06-15,CrazyBulk USA,CrazyBulk,US,809.65,0.0,737.7220956719818,True,",FREE PRODUCT,RETURN25",No coupon
3029579,2023-12-30,CrazyBulk USA,CrazyBulk,US,800.58,482.71,289.63097949886105,True,FREE PRODUCT,No coupon
2329472,2022-12-19,CrazyBulk USA,CrazyBulk,US,795.6568586821385,0.0,750.6196780020174,True,"FREE PRODUCT,SALE20",No coupon
2885801,2023-09-13,CrazyBulk USA,CrazyBulk,US,790.95,0.0,720.6833712984055,True,"FREE PRODUCT,SALE20",No coupon
2289135,2022-11-25,CrazyBulk USA,CrazyBulk,US,790.452082778222,0.0,745.7095120549263,True,"FREE PRODUCT,FRIDAY50",No coupon
3234503,2024-07-08,CrazyBulk CA,CrazyBulk,CA,783.05,0.0,783.05,True,"FREE PRODUCT,SAVE20",No coupon
3184313,2024-05-16,CrazyBulk AUS,CrazyBulk,AU,782.01,0.0,710.9181818181818,True,",,FREE PRODUCT",No coupon
2174370,2022-09-06,CrazyBulk USA,CrazyBulk,US,778.2421114964894,0.0,778.2421114964894,True,FREE PRODUCT,No coupon
3020556,2023-12-22,CrazyBulk USA,CrazyBulk,US,763.71,0.0,720.4811320754717,True,",FREE PRODUCT,LCBQ1H2K7O69B",No coupon
2572749,2023-04-17,CrazyBulk UK,CrazyBulk,MY,759.96,0.0,759.96,True,FREE PRODUCT,No coupon
3329150,2024-11-17,CrazyBulk AUS,CrazyBulk,AU,757.66,0.0,688.7818181818182,True,",,FREE PRODUCT,FRIDAY50",No coupon
2425971,2023-02-08,CrazyBulk AUS,CrazyBulk,AU,753.22,0.0,684.7454545454545,True,"BUY 2 GET 1 FREE,FREE PRODUCT,SALE20",No coupon
3165978,2024-04-25,CrazyBulk USA,CrazyBulk,NZ,751.18,0.0,751.18,True,"FREE PRODUCT,SALE20",No coupon
2096083,2022-07-11,CrazyBulk USA,CrazyBulk,US,747.3799658786254,269.7132179705906,434.4873909913176,True,"FREE PRODUCT,BUY 2 GET 1 FREE,SALE20",No coupon
2963723,2023-11-03,CrazyBulk UK,CrazyBulk,GB,745.47,0.0,621.225,True,",FREE PRODUCT,FRIDAY50",No coupon
2852326,2023-08-29,CrazyBulk USA,CrazyBulk,US,743.37,0.0,743.37,True,",,FREE PRODUCT",No coupon
2276677,2022-11-18,CrazyBulk USA,CrazyBulk,US,739.3551825206503,246.4428457234213,446.0745129386687,True,"FREE PRODUCT,FRIDAY50",No coupon
3324210,2024-11-11,CrazyBulk USA,CrazyBulk,US,735.13,0.0,735.13,True,"FREE PRODUCT,LCBGE5U9J9XEH",No coupon
2138947,2022-08-12,CrazyBulk USA,CrazyBulk,US,733.5778592864289,0.0,682.3980086385385,True,"FREE PRODUCT,SALE20",No coupon
2139379,2022-08-12,CrazyBulk USA,CrazyBulk,US,733.5778592864289,0.0,733.5778592864289,True,"FREE PRODUCT,SALE20",No coupon
2135140,2022-08-09,CrazyBulk USA,CrazyBulk,US,733.5778592864289,0.0,673.6252151390531,True,"FREE PRODUCT,SALE20",No coupon
2138739,2022-08-11,CrazyBulk USA,CrazyBulk,US,733.5778592864289,0.0,659.6923195021842,True,"FREE PRODUCT,SALE20",No coupon
2138914,2022-08-12,CrazyBulk USA,CrazyBulk,US,733.5778592864289,0.0,668.4080722427599,True,"FREE PRODUCT,SALE20",No coupon
2964379,2023-11-04,CrazyBulk USA,CrazyBulk,US,727.27,274.75,412.3189066059225,True,",FREE PRODUCT",No coupon
3256513,2024-08-05,CrazyBulk USA,CrazyBulk,US,726.61,0.0,671.2332563510392,True,",,FREE PRODUCT",No coupon
1970838,2022-04-16,CrazyBulk USA,CrazyBulk,US,715.1983045716016,0.0,651.6613253499787,True,"BUY 2 GET 1 FREE,FREE PRODUCT,EASTER",No coupon
3237735,2024-07-11,CrazyBulk USA,CrazyBulk,US,707.93,0.0,645.0387243735763,True,FREE PRODUCT,No coupon
3172824,2024-05-02,CrazyBulk USA,CrazyBulk,US,703.82,0.0,703.82,True,"FREE PRODUCT,LCBC5L2QRSWP4",No coupon
3356318,2024-12-28,CrazyBulk USA,CrazyBulk,US,702.31,0.0,650.287037037037,True,"FREE PRODUCT,FREESTACK",No coupon
3315010,2024-10-28,CrazyBulk USA,CrazyBulk,US,702.13,0.0,644.8955223880596,True,",FREE PRODUCT,MISSYOU40",No coupon
2577800,2023-04-19,CrazyBulk AUS,CrazyBulk,AU,701.97,0.0,638.1545454545454,True,",FREE PRODUCT,SALE20",No coupon
2514583,2023-03-22,CrazyBulk USA,CrazyBulk,US,700.36,0.0,654.5420560747664,True,"FREE PRODUCT,SALE20",No coupon
2425715,2023-02-08,CrazyBulk USA,CrazyBulk,US,696.66,0.0,645.0555555555554,True,FREE PRODUCT,No coupon
2301138,2022-12-01,CrazyBulk USA,CrazyBulk,US,696.220472440945,0.0,634.3694509712483,True,FREE PRODUCT,No coupon
2048228,2022-06-06,CrazyBulk USA,CrazyBulk,US,695.9987170234945,0.0,642.9549348946831,True,"FREE PRODUCT,SALE20",No coupon
2327384,2022-12-18,CrazyBulk USA,CrazyBulk,US,691.65,0.0,637.4654377880184,True,FREE PRODUCT,No coupon
2286907,2022-11-25,CrazyBulk USA,CrazyBulk,HK,690.087929656275,0.0,690.087929656275,True,"FREE PRODUCT,FRIDAY",No coupon
2441364,2023-02-15,CrazyBulk USA,CrazyBulk,US,690.04,0.0,628.7380410022779,True,"FREE PRODUCT,SALE20",No coupon
3209760,2024-06-13,CrazyBulk USA,CrazyBulk,US,689.7,0.0,635.668202764977,True,"FREE PRODUCT,LCBXPG4FTS14U",No coupon
2334947,2022-12-24,CrazyBulk USA,CrazyBulk,US,689.5648570244509,0.0,618.4438179591489,True,"FREE PRODUCT,SALE20",No coupon
2163893,2022-08-31,CrazyBulk USA,CrazyBulk,US,688.0793597865955,0.0,634.174525148936,True,",FREE PRODUCT,SALE20",No coupon
2087745,2022-07-05,CrazyBulk USA,CrazyBulk,US,687.2451052075716,0.0,626.1914398246666,True,",FREE PRODUCT,4JULY",No coupon
3352906,2024-12-20,CrazyBulk USA,CrazyBulk,US,684.63,0.0,684.63,True,",FREE PRODUCT,SALE20",No coupon
2310916,2022-12-07,CrazyBulk USA,CrazyBulk,US,683.7878159966847,0.0,623.0412902019906,True,"FREE PRODUCT,FRIDAY50",No coupon
2326740,2022-12-17,CrazyBulk USA,CrazyBulk,US,683.7712391214257,0.0,623.0261859876316,True,FREE PRODUCT,No coupon
3047702,2024-01-13,CrazyBulk USA,CrazyBulk,US,683.72,0.0,622.9794988610479,True,",FREE PRODUCT,SAVE20",No coupon
3054170,2024-01-19,CrazyBulk USA,CrazyBulk,US,682.44,0.0,682.44,True,",,FREE PRODUCT",No coupon
2461226,2023-02-25,CrazyBulk USA,CrazyBulk,US,681.49,0.0,642.9150943396227,True,"FREE PRODUCT,MISSYOU45",No coupon
3115892,2024-03-12,CrazyBulk USA,CrazyBulk,AE,680.37,0.0,680.37,True,"FREE PRODUCT,SALE20",No coupon
1962040,2022-04-11,CrazyBulk UK,CrazyBulk,GB,679.88,159.97,433.2583333333334,True,"FREE PRODUCT,BUY 2 GET 1 FREE,SALE20",No coupon
2533344,2023-03-31,CrazyBulk USA,CrazyBulk,US,678.14,0.0,638.2494117647059,True,FREE PRODUCT,No coupon
2059219,2022-06-15,CrazyBulk USA,CrazyBulk,US,677.4677251222837,0.0,639.1204953983809,True,"FREE PRODUCT,BUY 2 GET 1 FREE",No coupon
1827161,2022-01-12,CrazyBulk CA,CrazyBulk,CA,675.8760107816712,0.0,675.8760107816712,True,"BUY 2 GET 1 FREE,BUY 2 GET 1 FREE,BUY 2 GET 1 FREE,BUY 2 GET 1 FREE,BUY 2 GET 1 FREE,BUY 2 GET 1 FREE,FREE PRODUCT,NEWYOU",No coupon
2518704,2023-03-24,CrazyBulk USA,CrazyBulk,US,674.51,0.0,627.4511627906977,True,",,FREE PRODUCT,SAVE20",No coupon
2712186,2023-06-21,CrazyBulk USA,CrazyBulk,US,673.73,0.0,635.5943396226415,True,FREE PRODUCT,No coupon
3137983,2024-03-30,CrazyBulk USA,CrazyBulk,US,673.23,0.0,633.6282352941176,True,"VIP TIER GIFT,FREE PRODUCT",No coupon
2887076,2023-09-14,CrazyBulk USA,CrazyBulk,US,672.53,0.0,604.7931654676258,True,FREE PRODUCT,No coupon
2925741,2023-10-07,CrazyBulk USA,CrazyBulk,TH,669.94,0.0,669.94,True,",FREE PRODUCT",No coupon
2342845,2022-12-28,CrazyBulk USA,CrazyBulk,US,669.6891835888936,0.0,582.3384205120814,True,"FREE PRODUCT,SALE20",No coupon
2611271,2023-05-04,CrazyBulk DE,CrazyBulk,DE,669.25,0.0,625.4672897196261,True,"KAUFE 2 ERHALTE 1 GRATIS,KOSTENLOSES PRODUKT",No coupon
3344597,2024-12-05,CrazyBulk USA,CrazyBulk,US,665.72,0.0,614.9838337182448,True,",,FREE PRODUCT",No coupon
2559854,2023-04-11,CrazyBulk USA,CrazyBulk,US,665.69,0.0,665.69,True,EASTER,EASTER
2884532,2023-09-12,CrazyBulk USA,CrazyBulk,US,663.59,0.0,614.4351851851852,True,FREE PRODUCT,No coupon
2217043,2022-10-10,CrazyBulk USA,CrazyBulk,US,663.1541788015179,0.0,608.1193753338082,True,",,FREE PRODUCT,SALE20",No coupon
1972753,2022-04-17,CrazyBulk USA,CrazyBulk,SA,653.8904026642447,217.960944595822,435.92945806842266,True,"FREE PRODUCT,BUY 2 GET 1 FREE,SALE20",No coupon
2230846,2022-10-20,CrazyBulk USA,CrazyBulk,US,653.0403318330244,0.0,599.807423038369,True,FREE PRODUCT,No coupon
2258640,2022-11-08,CrazyBulk USA,CrazyBulk,US,652.8022026822987,0.0,604.4464839650914,True,"FREE PRODUCT,FRIDAY50",No coupon
2127602,2022-08-03,CrazyBulk USA,CrazyBulk,ZA,650.191730576859,650.191730576859,0.0,True,"FREE PRODUCT,BUY 2 GET 1 FREE,SALE20",No coupon
2832319,2023-08-19,CrazyBulk USA,CrazyBulk,US,647.85,0.0,647.85,True,FREE PRODUCT,No coupon
2491563,2023-03-11,CrazyBulk AUS,CrazyBulk,AU,647.6,0.0,588.7272727272727,True,",FREE PRODUCT",No coupon
2458215,2023-02-23,CrazyBulk USA,CrazyBulk,US,645.38,0.0,592.6354453627181,True,",FREE PRODUCT",No coupon
2136019,2022-08-10,CrazyBulk USA,CrazyBulk,US,641.8806268756252,0.0,584.8570632124148,True,"FREE PRODUCT,CBF736PN0N",No coupon
2138847,2022-08-12,CrazyBulk USA,CrazyBulk,US,640.6052017339114,0.0,583.6949446322656,True,",FREE PRODUCT,SALE20",No coupon
3244474,2024-07-19,CrazyBulk USA,CrazyBulk,US,639.74,0.0,573.7578475336323,True,",,FREE PRODUCT",No coupon
2100101,2022-07-13,CrazyBulk USA,CrazyBulk,US,639.7270290031684,0.0,589.6101649798787,True,",,FREE PRODUCT,BUY 2 GET 1 FREE,SALE20",No coupon
2162097,2022-08-29,CrazyBulk USA,CrazyBulk,US,639.5313425260131,0.0,639.5313425260131,True,"FREE PRODUCT,SALE20",No coupon
2988674,2023-11-23,CrazyBulk USA,CrazyBulk,US,638.94,0.0,586.8564867967852,True,",FREE PRODUCT",No coupon
2981282,2023-11-17,CrazyBulk USA,CrazyBulk,US,636.32,0.0,587.8244803695151,True,FREE PRODUCT,No coupon
3158632,2024-04-16,CrazyBulk USA,CrazyBulk,US,636.26,0.0,589.1296296296296,True,",FREE PRODUCT,LCBG3BBYGJ74L",No coupon
2216214,2022-10-09,CrazyBulk AUS,CrazyBulk,AU,631.7308257419924,0.0,574.3007506745384,True,",BUY 2 GET 1 FREE,FREE PRODUCT",No coupon
3193569,2024-05-26,CrazyBulk UK,CrazyBulk,GB,629.99,0.0,524.9916666666667,True,FLASH40,FLASH SALE
3002818,2023-12-03,PhenQ UK,Phen Q,GB,628.92,0.0,524.1,True,",",No coupon
3332825,2024-11-22,CrazyBulk USA,CrazyBulk,US,625.58,0.0,562.5719424460432,True,",FREE PRODUCT,SALE20",No coupon
1811734,2022-01-02,CrazyBulk USA,CrazyBulk,US,624.245175936436,208.08172531214527,376.6185073522993,True,FREE PRODUCT,No coupon
2941721,2023-10-18,CrazyBulk USA,CrazyBulk,US,624.01,0.0,575.1244239631336,True,FREE PRODUCT,No coupon
2196510,2022-09-23,CrazyBulk USA,CrazyBulk,US,622.6123001438119,0.0,622.6123001438119,True,"FREE PRODUCT,SALE20",No coupon
2853280,2023-08-29,CrazyBulk USA,CrazyBulk,US,621.71,0.0,621.71,True,"FREE PRODUCT,SALE20",No coupon
2991001,2023-11-24,CrazyBulk USA,CrazyBulk,US,619.97,0.0,564.8929384965832,True,"FREE PRODUCT,LCBMJTLB5BAHN",No coupon
2724720,2023-06-27,CrazyBulk USA,CrazyBulk,US,619.49,0.0,582.501175364363,True,",FREE PRODUCT",No coupon
3228594,2024-07-03,CrazyBulk USA,CrazyBulk,US,619.12,0.0,619.12,True,"FREE PRODUCT,TAKE60",No coupon
2984862,2023-11-20,CrazyBulk USA,CrazyBulk,US,618.53,0.0,563.5808656036446,True,",FREE PRODUCT",No coupon
3085833,2024-02-15,CrazyBulk CA,CrazyBulk,CA,617.2,0.0,617.2,True,FREE PRODUCT,No coupon
2888396,2023-09-14,CrazyBulk USA,CrazyBulk,US,616.5,0.0,570.8333333333333,True,",FREE PRODUCT",No coupon
2938818,2023-10-16,CrazyBulk USA,CrazyBulk,US,616.3,0.0,581.4150943396226,True,"FREE PRODUCT,LCBEN6F9D8GRP",No coupon
3319589,2024-11-03,CrazyBulk USA,CrazyBulk,US,615.62,0.0,570.0185185185185,True,"FREE PRODUCT,B2G1F",No coupon
2335421,2022-12-24,CrazyBulk USA,CrazyBulk,US,615.3667633651057,0.0,569.7840401528756,True,",FREE PRODUCT",No coupon
3108750,2024-03-05,NooCube USA,NooCube,US,614.78,0.0,569.2407407407406,True,SALE20,No coupon
2138417,2022-08-11,CrazyBulk USA,CrazyBulk,US,613.5211737245749,0.0,565.4573029719584,True,"FREE PRODUCT,SALE20",No coupon
2335183,2022-12-24,CrazyBulk USA,CrazyBulk,US,613.311230832988,0.0,563.3168595480946,True,"FREE PRODUCT,SALE20",No coupon
3072353,2024-02-02,CrazyBulk CA,CrazyBulk,CA,611.97,0.0,611.97,True,"FREE PRODUCT,SALE20",No coupon
2907271,2023-09-25,CrazyBulk USA,CrazyBulk,US,611.88,0.0,571.8504672897196,True,"FREE PRODUCT,LCBLSDJY0EZV4",No coupon
3161421,2024-04-19,CrazyBulk USA,CrazyBulk,US,611.58,0.0,557.2482915717541,True,"FREE PRODUCT,SALE20",No coupon
2867479,2023-09-04,CrazyBulk USA,CrazyBulk,US,611.53,0.0,611.53,True,",FREE PRODUCT",No coupon
2821729,2023-08-14,CrazyBulk USA,CrazyBulk,US,611.44,0.0,611.44,True,"FREE PRODUCT,CALL25",No coupon
2952406,2023-10-26,CrazyBulk USA,CrazyBulk,US,611.36,0.0,576.7547169811321,True,FREE PRODUCT,No coupon
2476522,2023-03-04,CrazyBulk USA,CrazyBulk,US,610.68,0.0,610.68,True,FREE PRODUCT,No coupon
2345433,2022-12-30,CrazyBulk USA,CrazyBulk,US,610.0207210940738,119.35350186489848,447.077192919522,True,"FREE PRODUCT,SALE20",No coupon
3319145,2024-11-03,CrazyBulk USA,CrazyBulk,US,609.87,227.54,343.8219424460432,True,",LCBR3XDTGLJWO",No coupon
2923964,2023-10-05,PhenQ USA,Phen Q,US,609.73,0.0,609.73,True,"SAVINGS,SAVINGS,SAVINGS,CART20",No coupon
2889744,2023-09-15,CrazyBulk USA,CrazyBulk,US,609.56,0.0,609.56,True,"FREE PRODUCT,SALE20",No coupon
2295157,2022-11-28,CrazyBulk USA,CrazyBulk,US,609.33,0.0,559.6601607347876,True,"FREE PRODUCT,FRIDAY50",No coupon
2918342,2023-10-02,CrazyBulk UK,CrazyBulk,GB,609.0,0.0,507.5,True,"FREE PRODUCT,LCBUKTJYSKFM9ZG",No coupon
3082795,2024-02-12,CrazyBulk UK,CrazyBulk,GB,608.98,0.0,507.48333333333335,True,",FREE PRODUCT,THANKS30",No coupon
2267778,2022-11-13,CrazyBulk UK,CrazyBulk,GB,608.05,0.0,506.7083333333333,True,"FREE PRODUCT,SALE20",No coupon
2291228,2022-11-26,CrazyBulk USA,CrazyBulk,US,607.88,0.0,558.3283582089551,True,"FREE PRODUCT,FRIDAY50",No coupon
2860602,2023-09-01,CrazyBulk USA,CrazyBulk,US,607.61,0.0,557.440366972477,True,",FREE PRODUCT",No coupon
3213714,2024-06-17,CrazyBulk USA,CrazyBulk,US,606.99,0.0,556.8715596330275,True,"VIP TIER GIFT,FREE PRODUCT,LCB0TR20MB70E",No coupon
2857462,2023-08-31,CrazyBulk USA,CrazyBulk,US,605.72,0.0,571.433962264151,True,FREE PRODUCT,No coupon
2352252,2023-01-02,CrazyBulk USA,CrazyBulk,AE,604.91,0.0,604.91,True,"FREE PRODUCT,STACK30",No coupon
3030045,2023-12-31,CrazyBulk USA,CrazyBulk,US,604.38,0.0,604.38,True,",FREE PRODUCT",No coupon
3345929,2024-12-07,CrazyBulk USA,CrazyBulk,US,604.12,0.0,557.4091160730761,True,",FREE PRODUCT,TAKE30",No coupon
2398923,2023-01-24,CrazyBulk USA,CrazyBulk,US,603.77,0.0,525.0173913043478,True,",FREE PRODUCT",No coupon
3099153,2024-02-27,CrazyBulk AUS,CrazyBulk,AU,603.34,0.0,548.4909090909091,True,FREE PRODUCT,No coupon
2101520,2022-07-14,CrazyBulk CA,CrazyBulk,CA,602.724932504552,0.0,602.724932504552,True,"BUY 2 GET 1 FREE,FREE PRODUCT",No coupon
2311055,2022-12-07,PhenQ UK,Phen Q,IE,602.48,0.0,474.3937007874016,False,,No coupon
2624522,2023-05-10,CrazyBulk USA,CrazyBulk,US,602.36,0.0,553.2583237657864,True,",FREE PRODUCT,SALE20",No coupon
2872797,2023-09-06,CrazyBulk USA,CrazyBulk,US,601.47,0.0,554.3502304147465,True,"FREE PRODUCT,SALE20",No coupon
2399833,2023-01-25,CrazyBulk USA,CrazyBulk,US,600.29,0.0,558.4093023255814,True,FREE PRODUCT,No coupon
2218347,2022-10-11,CrazyBulk USA,CrazyBulk,US,600.0970788103433,0.0,554.3621975153287,True,"FREE PRODUCT,SALE20",No coupon
2995916,2023-11-27,PhenQ USA,Phen Q,US,598.4,0.0,562.6704278326282,True,",,EXTRA20",No coupon
2102253,2022-07-15,CrazyBulk USA,CrazyBulk,US,597.9120968397108,597.9120968397108,0.0,True,"FREE PRODUCT,BUY 2 GET 1 FREE,SALE20",No coupon
2804055,2023-08-06,CrazyBulk USA,CrazyBulk,US,597.26,0.0,537.1043165467626,True,",,FREE PRODUCT,LCBA5O0EHZPI7",No coupon
3009303,2023-12-08,CrazyBulk USA,CrazyBulk,US,595.8,0.0,560.7529411764706,True,",FREE PRODUCT,FRIDAY40",No coupon
1914225,2022-03-13,CrazyBulk USA,CrazyBulk,US,595.574048162604,0.0,547.0255321814961,True,"BUY 2 GET 1 FREE,FREE PRODUCT,SALE20",No coupon
3325394,2024-11-12,CrazyBulk USA,CrazyBulk,US,594.88,0.0,555.9626168224298,True,FREE PRODUCT,No coupon
2893092,2023-09-17,CrazyBulk USA,CrazyBulk,US,594.21,0.0,548.9237875288684,True,"FREE PRODUCT,SALE20",No coupon
2960891,2023-11-02,CrazyBulk UK,CrazyBulk,GB,593.99,0.0,494.9916666666667,True,"FREE PRODUCT,TREAT",No coupon
1986068,2022-04-24,PhenQ CA,Phen Q,CA,593.0078360458107,296.50391802290534,296.50391802290534,False,,No coupon
2672484,2023-06-02,CrazyBulk USA,CrazyBulk,US,592.36,0.0,539.73576309795,True,"FREE PRODUCT,HERO30",No coupon
2743461,2023-07-06,CrazyBulk USA,CrazyBulk,US,591.91,0.0,558.4056603773585,True,"FREE PRODUCT,SALE20",No coupon
2724323,2023-06-27,CrazyBulk USA,CrazyBulk,US,591.58,0.0,545.2350230414747,True,"FREE PRODUCT,SALE20",No coupon
3214293,2024-06-18,CrazyBulk UK,CrazyBulk,GB,591.46,0.0,492.8833333333334,True,"B2G1F,SAVE30",No coupon
